,Winner,Turn,Strategy,Goal
308,royalblue,36,Neutral,BE
309,royalblue,41,Neutral,BE
310,black,37,Neutral,PP
311,royalblue,38,Neutral,BE
312,fuchsia,47,Neutral,LA
313,fuchsia,47,Neutral,LA
314,fuchsia,52,Neutral,LA
315,royalblue,37,Neutral,BE
316,royalblue,43,Neutral,BE
317,royalblue,45,Neutral,BE
318,royalblue,49,Neutral,BE
319,royalblue,35,Neutral,BE
320,royalblue,37,Neutral,BE
321,fuchsia,40,Neutral,LA
322,royalblue,51,Neutral,BE
323,royalblue,42,Neutral,BE
324,royalblue,43,Neutral,BE
325,fuchsia,41,Neutral,LA
326,fuchsia,52,Neutral,LA
327,royalblue,48,Neutral,BE
328,royalblue,47,Neutral,BE
329,fuchsia,43,Neutral,LA
330,royalblue,43,Neutral,BE
331,royalblue,45,Neutral,BE
332,fuchsia,43,Neutral,LA
333,royalblue,45,Neutral,BE
334,royalblue,40,Neutral,BE
335,fuchsia,44,Neutral,LA
336,royalblue,51,Neutral,BE
337,fuchsia,40,Neutral,LA
338,royalblue,45,Neutral,BE
339,royalblue,33,Neutral,BE
340,royalblue,47,Neutral,BE
341,black,45,Neutral,PP
342,royalblue,43,Neutral,BE
343,fuchsia,44,Neutral,LA
344,royalblue,67,Neutral,BE
345,royalblue,63,Neutral,BE
346,royalblue,50,Neutral,BE
347,fuchsia,49,Neutral,LA
348,black,48,Neutral,PP
349,fuchsia,59,Neutral,LA
350,fuchsia,42,Neutral,LA
351,royalblue,42,Neutral,BE
352,fuchsia,43,Neutral,LA
353,fuchsia,52,Neutral,LA
354,royalblue,47,Neutral,BE
355,royalblue,51,Neutral,BE
356,royalblue,40,Neutral,BE
357,royalblue,41,Neutral,BE
358,royalblue,35,Neutral,BE
359,royalblue,40,Neutral,BE
360,royalblue,41,Neutral,BE
361,royalblue,43,Neutral,BE
362,royalblue,53,Neutral,BE
363,royalblue,41,Neutral,BE
364,black,46,Neutral,PP
365,royalblue,40,Neutral,BE
366,royalblue,42,Neutral,BE
367,royalblue,46,Neutral,BE
